bill_id,customer_id,medicine,quantity,price,total,date,city
1,117,Paracetamol,6,213,1278,2026-04-11 10:44:55.765437,Mumbai
2,163,Insulin,10,442,4420,2026-03-23 10:44:55.765437,Delhi
3,71,Amoxicillin,7,282,1974,2026-03-05 10:44:55.765437,Mumbai
4,126,Antacid,5,200,1000,2026-03-21 10:44:55.765437,Bangalore
5,73,Paracetamol,6,452,2712,2026-03-02 10:44:55.765437,Delhi
6,69,Cough Syrup,6,407,2442,2026-02-16 10:44:55.765437,Kolkata
7,78,Aspirin,9,221,1989,2026-01-31 10:44:55.765437,Kolkata
8,11,Ibuprofen,2,281,562,2026-04-04 10:44:55.765437,Bangalore
9,26,Insulin,4,176,704,2026-04-16 10:44:55.765437,Kolkata
10,198,Amoxicillin,9,399,3591,2026-04-15 10:44:55.765437,Mumbai
11,129,Cough Syrup,10,113,1130,2026-02-07 10:44:55.765437,Bangalore
12,139,Cough Syrup,3,318,954,2026-03-04 10:44:55.765437,Mumbai
13,39,Vitamin C,7,389,2723,2026-04-08 10:44:55.765437,Delhi
14,36,Ibuprofen,1,63,63,2026-04-15 10:44:55.765437,Bangalore
15,86,Aspirin,8,164,1312,2026-01-29 10:44:55.765437,Bangalore
16,167,Ibuprofen,2,205,410,2026-04-16 10:44:55.765437,Kolkata
17,122,Cough Syrup,7,412,2884,2026-03-02 10:44:55.765437,Kolkata
18,10,Aspirin,10,152,1520,2026-03-31 10:44:55.765437,Bangalore
19,24,Antacid,1,262,262,2026-01-20 10:44:55.765437,Bangalore
20,61,Ibuprofen,3,179,537,2026-03-11 10:44:55.765437,Bangalore
21,87,Antacid,4,370,1480,2026-03-20 10:44:55.765437,Mumbai
22,89,Aspirin,10,449,4490,2026-02-13 10:44:55.765437,Mumbai
23,103,Paracetamol,3,101,303,2026-02-18 10:44:55.765437,Bangalore
24,38,Antacid,3,326,978,2026-01-28 10:44:55.765437,Bangalore
25,93,Antacid,6,294,1764,2026-03-11 10:44:55.765437,Bangalore
26,169,Vitamin C,9,427,3843,2026-03-18 10:44:55.765437,Delhi
27,52,Antacid,6,334,2004,2026-01-20 10:44:55.765437,Kolkata
28,136,Amoxicillin,4,233,932,2026-03-08 10:44:55.765437,Delhi
29,40,Aspirin,7,432,3024,2026-02-25 10:44:55.765437,Bangalore
30,199,Vitamin C,5,166,830,2026-03-16 10:44:55.765437,Mumbai
31,186,Aspirin,9,300,2700,2026-02-21 10:44:55.765437,Delhi
32,61,Antacid,9,27,243,2026-02-22 10:44:55.765437,Bangalore
33,77,Ibuprofen,3,140,420,2026-02-05 10:44:55.765437,Bangalore
34,144,Antacid,4,23,92,2026-02-17 10:44:55.765437,Delhi
35,126,Insulin,9,61,549,2026-04-02 10:44:55.765437,Mumbai
36,151,Cough Syrup,4,249,996,2026-02-03 10:44:55.765437,Delhi
37,99,Paracetamol,8,140,1120,2026-02-11 10:44:55.765437,Kolkata
38,16,Amoxicillin,4,450,1800,2026-01-29 10:44:55.765437,Delhi
39,18,Cough Syrup,9,487,4383,2026-04-09 10:44:55.765437,Bangalore
